"05573d40-39f4-4b4e-98be-2afa50a3b533","014596-12-4","Fe-59","Iron-59","4923348e-591b-4772-b224-d19df86f04c9","e8d7772c-55ca-4dd7-b605-fee5ae764578"
"055bf521-b162-4172-b7db-da4df197d671","000121-43-7","(CH3O)3B","Methyl borate","487df68b-4994-4027-8fdc-a4dc298257b7","e8d7772c-55ca-4dd7-b605-fee5ae764578"
"0561e8f7-bb2b-45b7-b4ab-e750f6842981",,,"Chlorinated solvents, unspecified","487df68b-4994-4027-8fdc-a4dc298257b7","963f8022-3e2e-4be9-ad4d-b3b7a2282099"
"05909c8c-153e-4969-aaa8-e735054b8ee2","000124-40-3","C2H7N","Dimethylamine","487df68b-4994-4027-8fdc-a4dc298257b7","65f8d2a1-63ed-479c-b86c-3bcf38e86320"
"059d4f43-8764-4b5e-95eb-c94df9913a55","000121-43-7","(CH3O)3B","Methyl borate","487df68b-4994-4027-8fdc-a4dc298257b7","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"059e6a26-7035-4621-a360-c71c5778eec8","000096-14-0","C6H14O2","2-Methyl pentane","487df68b-4994-4027-8fdc-a4dc298257b7","7011f0aa-f5f9-4901-8c10-884ad8296812"
"05bd7a83-0c53-4e95-b1eb-1140742f4176","015046-84-1","I-129","Iodine-129","4923348e-591b-4772-b224-d19df86f04c9","e8d7772c-55ca-4dd7-b605-fee5ae764578"
"05bfed24-3408-42a2-9208-daec1538905d","021725-46-2","C9H13ClN6","Cyanazine","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"05d248c7-0159-49c6-88f8-bd4aa70f4894","000123-38-6","C3H6O","Propanal","487df68b-4994-4027-8fdc-a4dc298257b7","a119c440-7e83-4655-a874-97fe1468315a"
"061c7a46-3728-48fa-8240-7a8841e6ca6f","000064-19-7","CH3COOH","Acetic acid","487df68b-4994-4027-8fdc-a4dc298257b7","963f8022-3e2e-4be9-ad4d-b3b7a2282099"
"061d04a0-af1d-4884-bdd3-997b6cd5550f","007440-42-8","B","Boron","487df68b-4994-4027-8fdc-a4dc298257b7","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"0628ac74-2a0d-4a13-aaef-14486431dc35","010098-97-2","Sr-90","Strontium-90","4923348e-591b-4772-b224-d19df86f04c9","23dbff79-8037-43e7-b270-5a3da416a284"
"062a6faf-b1a5-4a6a-aa02-47ae3ec566a8",,"CORINE 122c","Occupation, traffic area, rail network","eb955b7c-7bed-401f-9c76-5db716ca3640","7d704b6f-d455-4f41-9c28-50b4f372f315"
"063a0cee-aa71-4ea6-85ca-045c74ca1a66","000231-36-7","C12H12N2","Diquat","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"06449f0f-08af-4ca6-8c23-afd06c887810","013967-76-5","Nb-95","Niobium-95","4923348e-591b-4772-b224-d19df86f04c9","aa4362e0-b20a-448b-b2a0-261f4510deb5"
"064ac501-cea3-42fc-918c-6b17c113a764","007790-93-4","ClO3-","Chlorate","487df68b-4994-4027-8fdc-a4dc298257b7","65f8d2a1-63ed-479c-b86c-3bcf38e86320"
"0650f48f-c6c9-44ae-ac49-c3bae05220c3","000117-15-3","C2H8N2","Ethylene diamine","487df68b-4994-4027-8fdc-a4dc298257b7","e47f0a6c-3be8-4027-9eee-de251784f708"
"066a904d-beba-47a4-a153-3981ca3554e0","123312-89-0","C10H11N5O","Pymetrozine","487df68b-4994-4027-8fdc-a4dc298257b7","e1bc9a16-5b6a-494f-98ef-49f461b1a11e"
"06874cbb-2daf-4981-a55e-2c38be5b7277","007439-98-7","Mo","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","487df68b-4994-4027-8fdc-a4dc298257b7","6a098164-9f04-4f65-8104-ffab7f2677f3"
"06a2e2b7-0c98-4a77-8cc9-84349e2f3fcf","014133-76-7","Tc-99","Technetium-99","4923348e-591b-4772-b224-d19df86f04c9","f335ce0e-b830-475a-adab-03858d9cbdaf"
